"filename", "language", "JSON with Comments", "TypeScript", "vue", "CSS", "Markdown", "JSON", "HTML", "JavaScript", "Visual Basic", "Objective-C", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\README.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 48, 15, 141
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\b64toFile\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 4, 34
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\createProtocol\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 4, 5, 46
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\deleteFolder\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 1, 31
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\darwin\fontlist.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\darwin\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 5, 10, 48
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\demo.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 1, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 1, 21
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\linux\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 8, 29
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\win32\fonts.vbs", "Visual Basic", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 8, 30
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\win32\getByPowerShell.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 4, 24
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\win32\getByVBS.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 5, 16, 79
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\nodelib\getFontList\win32\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\preload.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 6, 2, 20
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 3, 17
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\package-lock.json", "JSON", 0, 0, 0, 0, 0, 9780, 0, 0, 0, 0, 0, 1, 9781
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\package.json", "JSON", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 86
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\public\themes\default.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\App.vue", "vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\pEditor\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 11171, 0, 0, 29, 16, 11216
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\pEditor\style.css", "CSS", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 3, 4, 128
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\BigworldContent.vue", "vue", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
